Character,Definition,pinyin,decomposition,radical,,,,,,,,,,,,,,,,,,,,,,,,,,,
亹,busy; resolute; to exert; to make progress,"""mén""",⿱亠舋,亠,,,,,,,,,,,,,,,,,,,,,,,,,,,
人,man;person; people,"""rén""",？,人,,,,,,,,,,,,,,,,,,,,,,,,,,,
亻,man;person; people,"""rén""",？,亻,,,,,,,,,,,,,,,,,,,,,,,,,,,
亼,to assemble;to gather together,"""jí""",⿱人一,人,,,,,,,,,,,,,,,,,,,,,,,,,,,
亾,death;destruction; to lose;to perish,"""wáng""",⿺？人,人,,,,,,,,,,,,,,,,,,,,,,,,,,,
亿,hundred million; many,"""yì""",⿰亻乙,亻,,,,,,,,,,,,,,,,,,,,,,,,,,,
什,what? mixed;miscellaneous,"""shén""",⿰亻十,亻,,,,,,,,,,,,,,,,,,,,,,,,,,,
仁,benevolent;humane;kind,"""rén""",⿰亻二,亻,,,,,,,,,,,,,,,,,,,,,,,,,,,
仂,excess;remainder;surplus,"""lè""",⿰亻力,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仃,lonely;solitary,"""dīng""",⿰亻丁,亻,,,,,,,,,,,,,,,,,,,,,,,,,,,
仄,slanting;oblique; oblique tones,"""zè""",⿸厂人,人,,,,,,,,,,,,,,,,,,,,,,,,,,,
仅,only;merely;solely;just,"""jǐn""",⿰亻又,亻,,,,,,,,,,,,,,,,,,,,,,,,,,,
仆,to fall forward; prostrate;prone; servant,"""pú""",⿰亻卜,亻,,,,,,,,,,,,,,,,,,,,,,,,,,,
仇,enemy; hatred;enmity,"""chóu""",⿰亻九,亻,,,,,,,,,,,,,,,,,,,,,,,,,,,
仉,mother; surname of the mother of Mencius,"""zhǎng""",⿰亻几,亻,,,,,,,,,,,,,,,,,,,,,,,,,,,
今,modern;current; today;now,"""jīn""",⿱人？,人,,,,,,,,,,,,,,,,,,,,,,,,,,,
介,agent;go-between;intermediary; to introduce; shell;armor,"""jiè""",⿱人？,人,,,,,,,,,,,,,,,,,,,,,,,,,,,
仌,frozen; ice-cold,"""bīng""",⿱人人,人,,,,,,,,,,,,,,,,,,,,,,,,,,,
仍,yet;still; keeping;continuing; again,"""réng""",⿰亻乃,亻,,,,,,,,,,,,,,,,,,,,,,,,,,,
从,from;by;since;whence;through,"""cóng""",⿰人人,人,,,,,,,,,,,,,,,,,,,,,,,,,,,
仑,logical reasons;logical order,"""lún""",⿱人匕,人,,,,,,,,,,,,,,,,,,,,,,,,,,,
